timestamp,level_width,level_height,total_tiles,invalid_detected,repair_rate_pct,tiles_repaired,post_repair_valid,Pipe without ground support,Pipe at or below ground level,Pipe body gap (not contiguous to ground),Pipe too short (< min height),Block on pipe head,Lucky block insufficient space below,Lucky block insufficient space above,Lucky blocks too close vertically
2026-04-05T15:43:26.971580+00:00,188,13,2444,19,0.7774,18,True,0,0,6,9,0,3,1,0
2026-04-05T17:15:11.998831+00:00,188,13,2444,12,0.491,10,True,0,0,0,6,0,4,2,0
2026-04-05T17:15:12.045910+00:00,188,13,2444,18,0.7365,18,True,0,0,7,9,0,2,0,0
2026-04-05T17:15:12.075959+00:00,188,13,2444,29,1.1866,25,True,0,0,6,11,1,8,3,0
2026-04-05T17:15:12.104691+00:00,188,13,2444,20,0.8183,19,True,0,0,10,6,0,3,1,0
2026-04-05T17:15:12.132586+00:00,188,13,2444,34,1.3912,32,True,0,0,16,12,0,4,2,0
2026-04-05T17:15:12.161158+00:00,188,13,2444,40,1.6367,33,True,0,0,3,7,0,25,5,0
2026-04-05T17:15:12.188244+00:00,188,13,2444,28,1.1457,26,True,0,0,11,10,0,4,3,0
2026-04-05T17:15:12.216430+00:00,188,13,2444,25,1.0229,24,True,0,0,11,9,0,4,1,0
2026-04-05T17:15:12.245003+00:00,188,13,2444,23,0.9411,22,True,0,0,12,7,0,3,1,0
2026-04-05T17:15:12.273448+00:00,188,13,2444,15,0.6137,14,True,0,0,4,7,0,3,1,0
